code,char,archive,entry,child,source,cell,runtime_texture,verification,notes
0x03e1,最,DATA001,0002,5,codeJAP14x14_08_,8,0x040e6700,confirmed,"Overlay/body page-base probe v4 H11 row rendered 3E1=最; inferred cell 8 from shared base 0x03d9."
0x03f2,目,DATA001,0002,5,codeJAP14x14_08_,25,0x040e6700,confirmed,"Overlay/body page-base probe v4 H11 row rendered 3F2=目; inferred cell 25 from shared base 0x03d9."
0x052e,入,DATA001,0002,7,codeJAP14x14_12_,17,0x040ea900,confirmed,"Overlay/body page-base probe v4 H5 row rendered 52E=入 at cell 17; same-base group with 530/523/532/52A. Implied overlay base 0x051d."
0x0530,戻,DATA001,0002,7,codeJAP14x14_12_,19,0x040ea900,confirmed,"Overlay/body page-base probe v4 H5 row rendered 530=戻; inferred cell 19 from shared base 0x051d."
0x0523,選,DATA001,0002,7,codeJAP14x14_12_,6,0x040ea900,confirmed,"Overlay/body page-base probe v4 H5 row rendered 523=選; inferred cell 6 from shared base 0x051d."
0x0532,位,DATA001,0002,7,codeJAP14x14_12_,21,0x040ea900,confirmed,"Overlay/body page-base probe v4 H5 row rendered 532=位; inferred cell 21 from shared base 0x051d."
0x052a,元,DATA001,0002,7,codeJAP14x14_12_,13,0x040ea900,confirmed,"Overlay/body page-base probe v4 H5 row rendered 52A=元; inferred cell 13 from shared base 0x051d."
0x0428,押,DATA001,0002,5,codeJAP14x14_08_,79,0x040e6700,confirmed,"Overlay/body page-base probe v4 H4 row rendered 428=押 at cell 79; same-base group with 410/411/424/40D. Implied overlay base 0x03d9."
0x0410,子,DATA001,0002,5,codeJAP14x14_08_,55,0x040e6700,confirmed,"Overlay/body page-base probe v4 H4 row rendered 410=子; inferred cell 55 from shared base 0x03d9."
0x0411,横,DATA001,0002,5,codeJAP14x14_08_,56,0x040e6700,confirmed,"Overlay/body page-base probe v4 H4 row rendered 411=横; inferred cell 56 from shared base 0x03d9."
0x0424,越,DATA001,0002,5,codeJAP14x14_08_,75,0x040e6700,confirmed,"Overlay/body page-base probe v4 H4 row rendered 424=越; inferred cell 75 from shared base 0x03d9."
0x040d,増,DATA001,0002,5,codeJAP14x14_08_,52,0x040e6700,confirmed,"Overlay/body page-base probe v4 H4 row rendered 40D=増; inferred cell 52 from shared base 0x03d9."
0x019d,A,DATA001,0002,1,codeJAP14x14_00_,76,0x040de300,confirmed,"Overlay/body page-base probe v5 R4 row rendered 19D=A; same-base group with 1A0/194/196/1A1. Implied overlay base 0x0151."
0x01a0,D,DATA001,0002,1,codeJAP14x14_00_,79,0x040de300,confirmed,"Overlay/body page-base probe v5 R4 row rendered 1A0=D; inferred cell 79 from shared base 0x0151."
0x0194,1,DATA001,0002,1,codeJAP14x14_00_,67,0x040de300,confirmed,"Overlay/body page-base probe v5 R4 row rendered 194=1; inferred cell 67 from shared base 0x0151."
0x0196,3,DATA001,0002,1,codeJAP14x14_00_,69,0x040de300,confirmed,"Overlay/body page-base probe v5 R4 row rendered 196=3; inferred cell 69 from shared base 0x0151."
0x01a1,E,DATA001,0002,1,codeJAP14x14_00_,80,0x040de300,confirmed,"Overlay/body page-base probe v5 R4 row rendered 1A1=E at cell 80 on texture 0x040de300. Implied overlay base 0x0151."
0x0508,変,DATA001,0002,7,codeJAP14x14_12_,60,0x040ea900,confirmed,"Overlay/body page-base probe v5 H5L row rendered 508=変; same-base group with 502/51B/516/51A. Implied overlay base 0x04cc."
0x0502,取,DATA001,0002,7,codeJAP14x14_12_,54,0x040ea900,confirmed,"Overlay/body page-base probe v5 H5L row rendered 502=取; inferred cell 54 from shared base 0x04cc."
0x051b,形,DATA001,0002,7,codeJAP14x14_12_,79,0x040ea900,confirmed,"Overlay/body page-base probe v5 H5L row rendered 51B=形; inferred cell 79 from shared base 0x04cc."
0x0516,得,DATA001,0002,7,codeJAP14x14_12_,74,0x040ea900,confirmed,"Overlay/body page-base probe v5 H5L row rendered 516=得; inferred cell 74 from shared base 0x04cc."
0x051a,明,DATA001,0002,7,codeJAP14x14_12_,78,0x040ea900,confirmed,"Overlay/body page-base probe v5 H5L row rendered 51A=明 at cell 78 on texture 0x040ea900. Implied overlay base 0x04cc."
0x0314,一,DATA001,0002,4,codeJAP14x14_06_,46,0x040e4600,confirmed,"Overlay/body page-base probe v5 D3 row rendered 314=一 at cell 46 on texture 0x040e4600; same-base group with 311/310/334. Implied overlay base 0x02e6."
0x0311,練,DATA001,0002,4,codeJAP14x14_06_,43,0x040e4600,confirmed,"Overlay/body page-base probe v5 D3 row rendered 311=練; inferred cell 43 from shared base 0x02e6."
0x0310,熟,DATA001,0002,4,codeJAP14x14_06_,42,0x040e4600,confirmed,"Overlay/body page-base probe v5 D3 row rendered 310=熟; inferred cell 42 from shared base 0x02e6."
0x0334,代,DATA001,0002,4,codeJAP14x14_06_,78,0x040e4600,confirmed,"Overlay/body page-base probe v5 D3 row rendered 334=代; inferred cell 78 from shared base 0x02e6."
0x0493,A,DATA001,0017,6,codeJAP14x14_10_,24,0x040e8800,confirmed,"Help/manual page-base probe help0017-v1 row A rendered 493=A at cell 24 on texture 0x040e8800. Confirms contiguous gap base 0x047b."
0x048a,B,DATA001,0017,6,codeJAP14x14_10_,15,0x040e8800,confirmed,"Help/manual page-base probe help0017-v1 row B rendered 48A=B at cell 15 on texture 0x040e8800. Confirms contiguous gap base 0x047b."
0x05b0,J,DATA001,0017,8,codeJAP14x14_14_,66,0x040eca00,confirmed,"Help/manual page-base probe help0017-v1 row J rendered 5B0=J at cell 66 on texture 0x040eca00. Confirms contiguous gap base 0x056e."
0x063b,欲,DATA001,0017,9,codeJAP14x14_16_,43,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 63B=欲 at cell 43 on texture 0x040eeb00. Candidate 0x0600/child6 did not win; observed base is 0x0610."
0x072e,脱,DATA001,0017,10,codeJAP14x14_18_,43,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 72E=脱 at cell 43 on texture 0x040f0c00. Candidate 0x0700/child7 did not win; observed base is 0x0703."
0x02ae,β,DATA001,0017,3,codeJAP14x14_04_,25,0x040e2500,confirmed,"Help/manual page-base probe help0017-v1 S2 row rendered 2AE=β at cell 25 on texture 0x040e2500. Candidate 0x0264/child7 did not win; observed base is 0x0295."
0x0493,A,DATA001,0002,6,codeJAP14x14_10_,24,0x040e8800,confirmed,"Help/manual page-base probe help0017-v1 row A rendered 493=A at cell 24; confirms base 0x047b."
0x048a,B,DATA001,0002,6,codeJAP14x14_10_,15,0x040e8800,confirmed,"Help/manual page-base probe help0017-v1 row B rendered 48A=B at cell 15; confirms base 0x047b."
0x05b0,J,DATA001,0002,8,codeJAP14x14_14_,66,0x040eca00,confirmed,"Help/manual page-base probe help0017-v1 row J rendered 5B0=J at cell 66; confirms base 0x056e."
0x063b,欲,DATA001,0002,9,codeJAP14x14_16_,43,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 63B=欲 at cell 43; marker candidate 0x0600 did not win, actual base is 0x0610."
0x062e,価,DATA001,0002,9,codeJAP14x14_16_,30,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 62E=価; inferred cell 30 from shared base 0x0610."
0x062c,総,DATA001,0002,9,codeJAP14x14_16_,28,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 62C=総; inferred cell 28 from shared base 0x0610."
0x062d,評,DATA001,0002,9,codeJAP14x14_16_,29,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 62D=評; inferred cell 29 from shared base 0x0610."
0x063a,満,DATA001,0002,9,codeJAP14x14_16_,42,0x040eeb00,confirmed,"Help/manual page-base probe help0017-v1 P6 row rendered 63A=満; inferred cell 42 from shared base 0x0610."
0x0712,骸,DATA001,0002,10,codeJAP14x14_18_,15,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 712=骸; inferred cell 15 from shared base 0x0703."
0x072a,波,DATA001,0002,10,codeJAP14x14_18_,39,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 72A=波; inferred cell 39 from shared base 0x0703."
0x072e,脱,DATA001,0002,10,codeJAP14x14_18_,43,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 72E=脱 at cell 43; marker candidate 0x0700 did not win, actual base is 0x0703."
0x074c,識,DATA001,0002,10,codeJAP14x14_18_,73,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 74C=識; inferred cell 73 from shared base 0x0703."
0x0705,依,DATA001,0002,10,codeJAP14x14_18_,2,0x040f0c00,confirmed,"Help/manual page-base probe help0017-v1 P7 row rendered 705=依; inferred cell 2 from shared base 0x0703."
0x02ae,β,DATA001,0002,3,codeJAP14x14_04_,25,0x040e2500,confirmed,"Help/manual page-base probe help0017-v1 S2 row rendered 2AE=β at cell 25; marker candidate 0x0264 did not win, actual base is 0x0295."
0x02af,γ,DATA001,0002,3,codeJAP14x14_04_,26,0x040e2500,confirmed,"Help/manual page-base probe help0017-v1 S2 row rendered 2AF=γ; inferred cell 26 from shared base 0x0295."
0x02ac,Ω,DATA001,0002,3,codeJAP14x14_04_,23,0x040e2500,confirmed,"Help/manual page-base probe help0017-v1 S2 row rendered 2AC=Ω; inferred cell 23 from shared base 0x0295."
0x02ad,α,DATA001,0002,3,codeJAP14x14_04_,24,0x040e2500,confirmed,"Help/manual page-base probe help0017-v1 S2 row rendered 2AD=α; inferred cell 24 from shared base 0x0295."
